StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2a#1_1_1,Q2a#1_1_2,Q2a#1_2_1,Q2a#1_2_2,Q2a#1_3_1,Q2a#1_3_2,Q2a#1_4_1,Q2a#1_4_2,Q2a#1_5_1,Q2a#1_5_2,Q2a#1_6_1,Q2a#1_6_2,Q2a#1_7_1,Q2a#1_7_2,Q2a#1_8_1,Q2a#1_8_2,Q2a#1_9_1,Q2a#1_9_2,Q2a#1_10_1,Q2a#1_10_2,Q2a#1_11_1,Q2a#1_11_2,Q2,Q3,Q4
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.34.111,100,134,TRUE,2023/3/23 15:29,R_1eWZQS1iRQyG0BJ,,,,,36.0229,-78.9464,anonymous,EN,170,,2,,2,,2,,2,1,1,,2,,2,,2,,2,1,1,2,18,-16,20,-0.8
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.34.111,100,141,TRUE,2023/3/23 15:29,R_2UfTswx0ud2cIWd,,,,,36.0229,-78.9464,anonymous,EN,170,,2,,2,1,1,1,1,,2,,2,,2,,2,1,1,1,1,4,16,-12,20,-0.6
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.112.42,100,145,TRUE,2023/3/23 15:29,R_STbHR4KHBOPxoHf,,,,,35.961,-78.9291,anonymous,EN,163,,2,,2,,1,,1,,1,,2,,2,,2,,1,2,,2,14,-12,16,-0.75
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.34.111,100,159,TRUE,2023/3/23 15:29,R_30db2uo9uGTciIJ,,,,,36.0229,-78.9464,anonymous,EN,180,,2,,2,1,1,,2,,2,,2,1,1,,2,,2,2,,4,16,-12,20,-0.6
2023/3/23 15:26,2023/3/23 15:29,IP Address,152.3.34.111,100,168,TRUE,2023/3/23 15:29,R_1P7NtuiwyvoTKqT,,,,,36.0229,-78.9464,anonymous,EN,175,,2,,2,,1,,2,,2,1,1,1,1,,2,,2,,1,2,16,-14,18,-0.78
2023/3/23 15:26,2023/3/23 15:29,IP Address,152.3.34.111,100,169,TRUE,2023/3/23 15:29,R_2cCJdukQAcSY9E8,,,,,36.0229,-78.9464,anonymous,EN,164,,2,,2,,2,,2,,2,,2,1,1,,2,1,1,,2,2,18,-16,20,-0.8
2023/3/23 15:28,2023/3/23 15:29,IP Address,152.3.34.111,100,103,TRUE,2023/3/23 15:29,R_Q04RLZV2kHBLxiF,,,,,36.0229,-78.9464,anonymous,EN,163,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,0,10,-10,10,-1
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.34.111,100,139,TRUE,2023/3/23 15:29,R_2zBgfMeSw9mo7DW,,,,,36.0229,-78.9464,anonymous,EN,,0,2,0,2,1,1,0,2,1,1,1,1,1,1,0,2,0,2,0,2,4,16,-12,20,-0.6
2023/3/23 15:27,2023/3/23 15:29,IP Address,152.3.34.111,100,169,TRUE,2023/3/23 15:29,R_2tL5kSCD4kQKs5s,,,,,36.0229,-78.9464,anonymous,EN,178,,2,,2,,1,1,1,1,1,1,1,,2,,2,,2,1,1,4,15,-11,20,-0.52
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,168,TRUE,2023/3/23 15:30,R_3Mlf0m8wFA0Nur6,,,,,36.0229,-78.9464,anonymous,EN,165,,2,1,1,,1,,2,1,1,1,1,,2,,2,,2,1,1,4,15,-11,19,-0.5789
2023/3/23 15:26,2023/3/23 15:30,IP Address,180.208.59.145,100,185,TRUE,2023/3/23 15:30,R_1pF1pQfTji5uugR,,,,,34.7732,113.722,anonymous,EN,,,2,,2,1,1,,2,,2,,1,,1,,2,,1,1,1,2,15,-13,17,-0.76
2023/3/23 15:27,2023/3/23 15:30,IP Address,198.16.64.106,100,153,TRUE,2023/3/23 15:30,R_RLJKLueAotMOFoZ,,,,,52.3759,4.8975,anonymous,EN,165,,2,,2,,2,1,1,1,1,,2,,2,,2,,2,1,1,3,17,-14,20,-0.7
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,175,TRUE,2023/3/23 15:30,R_e506hx184GsnUo9,,,,,36.0229,-78.9464,anonymous,EN,166,,2,,2,1,1,,2,1,1,,2,1,1,,2,1,1,1,1,5,15,-10,20,-0.5
2023/3/23 15:27,2023/3/23 15:30,IP Address,180.208.59.157,100,140,TRUE,2023/3/23 15:30,R_uvRGvCA2ENPOrvj,,,,,34.7732,113.722,anonymous,EN,171,,2,,2,1,1,,1,,2,1,1,1,1,,2,1,1,1,1,,1,-10,20,-0.5
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.78.180,100,177,TRUE,2023/3/23 15:30,R_2OHLuQaFYml1xEs,,,,,35.961,-78.9291,anonymous,EN,167,,2,,2,,1,,2,,2,1,1,,2,,2,1,1,1,1,3,16,-13,19,-0.684
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,180,TRUE,2023/3/23 15:30,R_3kG5tyYhL8injgO,,,,,36.0229,-78.9464,anonymous,EN,,,2,,2,1,1,,1,,1,,2,,2,,2,,1,,1,1,15,-14,16,-0.875
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,195,TRUE,2023/3/23 15:30,R_2thf7KVLh8HHWjp,,,,,36.0229,-78.9464,anonymous,EN,172,,2,,2,1,1,,1,,2,1,1,1,1,,2,1,1,,2,4,15,-11,19,-0.5789
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,205,TRUE,2023/3/23 15:30,R_xzMh7nCL3ZCh9ER,,,,,36.0229,-78.9464,anonymous,EN,152,0,2,0,2,1,1,0,2,1,1,1,1,1,1,0,2,1,1,1,1,6,14,-8,20,-0.4
2023/3/23 15:29,2023/3/23 15:30,IP Address,152.3.34.111,100,71,TRUE,2023/3/23 15:30,R_2BxhAbmGq02nZSC,,,,,36.0229,-78.9464,anonymous,EN,182,,2,,2,,1,1,1,,1,,1,,1,,1,1,1,1,1,3,12,-9,15,-0.6
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,221,TRUE,2023/3/23 15:30,R_2VyzExcC5yo2616,,,,,36.0229,-78.9464,anonymous,EN,170,,2,,2,1,1,1,1,,2,1,1,,2,,2,,2,1,1,4,16,-12,20,-0.6
2023/3/23 15:27,2023/3/23 15:30,IP Address,152.3.34.111,100,202,TRUE,2023/3/23 15:30,R_3m2mTwdmzRS4ULW,,,,,36.0229,-78.9464,anonymous,EN,169,,2,,2,1,1,,2,,2,,2,1,1,,2,,2,,1,2,17,-15,19,-0.79
2023/3/23 15:26,2023/3/23 15:30,IP Address,152.3.34.111,100,233,TRUE,2023/3/23 15:30,R_1Pd5LTq7DUY18ry,,,,,36.0229,-78.9464,anonymous,EN,188,,2,,2,,2,,2,1,1,,1,,2,,2,,1,1,1,2,16,-14,18,-0.7
2023/3/23 15:27,2023/3/23 15:31,IP Address,152.3.34.111,100,240,TRUE,2023/3/23 15:31,R_39OBPp7u3KNthFD,,,,,36.0229,-78.9464,anonymous,EN,163,,2,,2,1,1,,2,1,1,,2,1,1,,2,,2,1,1,4,16,-12,20,-0.6
2023/3/23 15:27,2023/3/23 15:31,IP Address,152.3.78.164,100,251,TRUE,2023/3/23 15:31,R_30wuNE2FRM9rgl6,,,,,35.961,-78.9291,anonymous,EN,163,,2,,2,1,1,,2,,2,,2,1,1,,2,,2,1,1,3,17,-14,20,-0.7
2023/3/23 15:28,2023/3/23 15:31,IP Address,152.3.34.111,100,161,TRUE,2023/3/23 15:31,R_1g75VQwEQf3nBtu,,,,,36.0229,-78.9464,anonymous,EN,188,,2,,2,,2,1,1,1,1,,2,1,1,,2,1,1,2,0,6,14,-8,20,-0.4